,ISIN,RIC,name,symbol
232,TH0174A10Z03,TH:JUTHA,JUTHA MARITIME,JUTHA
233,TH6718010007,TH:JWD,JWD INFOLOGISTICS,JWD
234,TH0467A10Z09,TH:KAMART,KARMARTS,KAMART
235,TH0016010009,TH:KBANK,KASIKORNBANK,KBANK
236,TH1061010001,TH:KBS,KHONBURI SUGAR,KBS
237,TH0869010007,TH:KCAR,KRUNGTHAI CAR RENT AND LEASE,KCAR
238,TH0122C10Z04,TH:KCE,KCE ELECTRONICS,KCE
239,TH0162010Y09,TH:KDH,THONBURI MEDICAL CENTRE,KDH
240,TH0171B10Z05,TH:KGI,KGI SECURITIES,KGI
241,TH0218010Z08,TH:KKC,KULTHORN KIRBY,KKC
242,TH0121010001,TH:KKP,KIATNAKIN BANK,KKP
243,TH4455010009,TH:KPNPF,KPN PROPERTY,KPNPF
244,TH0828A10Z03,TH:KSL,KHON KAEN SUGAR,KSL
245,TH0150010Z03,TH:KTB,KRUNG THAI BANK,KTB
246,TH0689010Z00,TH:KTC,KRUNGTHAI CARD,KTC
247,TH5288010009,TH:KTIS,KASET THAI INTERNATIONAL SUG.,KTIS
248,TH0058010008,TH:KWC,KRUNGDHEP SOPHON,KWC
249,TH0323A10Y04,TH:KWG,KING WAI GROUP,KWG
250,TH0386010Z03,TH:KYE,KANG YONG ELECTRIC,KYE
251,TH0784010Z09,TH:L&E,LIGHTING & EQUIPMENT,L&E
252,TH0693010Z02,TH:LALIN,LALIN PROPERTY,LALIN
253,TH0409010Z03,TH:LANNA,LANNA RESOURCES,LANNA
254,TH0181B10Z03,TH:LEE,LEE FEED MILL,LEE
255,TH0143010Z08,TH:LH,LAND AND HOUSES,LH
256,TH1019010Y00,TH:LHFG,LH FINANCIAL GP.,LHFG
257,TH6957010007,TH:LHHOTEL,LH HTL.LH.REIT.TST. UTS.,LHHOTEL
258,TH0964010001,TH:LHK,LOHAKIT METAL,LHK
259,TH3204010005,TH:LHPF,LD.&.HSES.FH.AND LH.PR.,LHPF
260,TH6180010006,TH:LHSC,LH SHOPPING CENTERS LEASEHOLD REIT,LHSC
261,TH0376010Z04,TH:LOXLEY,LOXLEY,LOXLEY
262,TH6733010008,TH:LPH,LADPRAO GENERAL HOSPITAL,LPH
263,TH0456010Z04,TH:LPN,LPN DEVELOPMENT,LPN
264,TH0372010007,TH:LRH,LAGUNA RESORTS & HOTELS,LRH
265,TH0574010Z04,TH:LST,LAM SOON,LST
266,TH0982010009,TH:LUXF,LUXURY REAL ESTATE INVESTMENT,LUXF
267,TH0581010004,TH:MCHAI,MAHACHAI HOSPITAL,MCHAI
268,TH4127010007,TH:MII,MFC IINV.PR.&.LH.,MII
269,TH5538010007,TH:MPAT,MFC PATONG HERITAGE PROPERTY,MPAT
270,TH1013010000,TH:MSTOR,MFC-STRATEGIC STORAGE,MSTOR
271,TH4577010002,TH:M,MK RESTAURANT GROUP,M
272,TH0734010Z04,TH:MACO,MASTER AD,MACO
273,TH0671010Z08,TH:MAJOR,MAJOR CINEPLEX GROUP,MAJOR
274,TH0429010Z01,TH:MAKRO,SIAM MAKRO,MAKRO
275,TH0293B10Z08,TH:MALEE,MALEE GROUP,MALEE
276,TH0258010006,TH:MANRIN,MANDARIN HOTEL,MANRIN
277,TH0703010Y00,TH:MATCH,MATCHING MAXIMIZE SLN.,MATCH
278,TH0170A10Z07,TH:MATI,MATICHON,MATI
279,TH0546010Y03,TH:MAX,MAX METAL,MAX
280,TH0480B10Z01,TH:MBK,MBK,MBK
281,TH0744010Y04,TH:MBKET,MAYBANK KIM ENG SECS. (THAILAND),MBKET
282,TH4625010004,TH:MC,MC GROUP,MC
283,TH0803010006,TH:MCOT,MCOT,MCOT
284,TH0851010007,TH:MCS,MCS STEEL,MCS
285,TH0294010002,TH:MDX,MDX,MDX
286,TH4984010009,TH:MEGA,MEGA LIFESCIENCES,MEGA
287,TH0304010Z06,TH:METCO,MURAMOTO ELECTRON,METCO
288,TH0237010Z08,TH:MFC,MFC ASSET MANAGEMENT,MFC
289,TH0738010006,TH:MFEC,MFEC,MFEC
290,TH0710010Z04,TH:MIDA,MIDA ASSETS,MIDA
291,TH0957010Y02,TH:MILL,MILLCON STEEL,MILL
292,TH0128B10Z09,TH:MINT,MINOR INTERNATIONAL,MINT
293,TH0827010008,TH:MIPF,MILLIONAIRE PROPERTY,MIPF
294,TH6947010000,TH:MIT,MFC INDL.REIT.TST. UTS.,MIT
295,TH0960010005,TH:MJD,MAJOR DEVELOPMENT,MJD
296,TH0948010002,TH:MJLF,MJR.CPX.LFY.LH.PR.,MJLF
297,TH0182A10Z03,TH:MK,MK REAL ESTATE DEV.,MK
298,TH0785A10Z04,TH:ML,MIDA LEASING,ML
299,TH1000010005,TH:MNIT2,NICHADA THANI PROPERTY 2,MNIT2
300,TH0852010006,TH:MNIT,MFC-NICHADA THANI PROPERTY,MNIT
301,TH0983010008,TH:MNRF,MULTI-NATIONAL RESIDENCE,MNRF
302,TH0291B10Z00,TH:MODERN,MODERNFORM GROUP,MODERN
303,TH4546010000,TH:MONO,MONO TECHNOLOGY,MONO
304,TH0672010Z06,TH:MPIC,M PICTURES ENTERTAINMENT,MPIC
305,TH0569010Z04,TH:MSC,METRO SYSTEMS,MSC
306,TH6068010Y02,TH:MTC,MUANGTHAI CAPITAL ORS,MTC
307,TH0985010006,TH:MTI,MUANG THAI INSURANCE,MTI
308,TH0024010009,TH:NC,NEW CITY (BANGKOK),NC
309,TH0769010Z00,TH:NCH,NC HOUSING,NCH
310,TH0086010Z09,TH:NEP,NEP REALTY & IND.,NEP
311,TH8798010006,TH:NER,NORTH EAST RUBBERS,NER
312,TH0575010002,TH:NEW,WATTANA KARNPAET,NEW
313,TH0825010Y01,TH:NEX,NEX POINT,NEX
314,TH0586D10Z02,TH:NFC,NFC,NFC
315,TH0199010008,TH:NKI,NAVAKIJ INSURANCE,NKI
316,TH0702010Z01,TH:NNCL,NAVANAKORN,NNCL
317,TH0564A10Z01,TH:NOBLE,NOBLE DEVELOPMENT,NOBLE
318,TH4601010002,TH:NOK,NOK AIRLINES,NOK
319,TH0464010006,TH:NSI,NAM SENG INSURANCE,NSI
320,TH0421010Z08,TH:NTV,NONTHAVEJ HOSPITAL,NTV
321,TH0305B10Z04,TH:NUSA,NUSASIRI,NUSA
322,TH6502010Y00,TH:NVD,NIRVANA DAII ORS,NVD
323,TH0526A10Z08,TH:NWR,NAWARAT PATANAKARN,NWR
324,TH5008010Z08,TH:NYT,NAMYONG TERMINAL,NYT
325,TH0091010Z09,TH:OCC,OCC,OCC
326,TH0360010001,TH:OGC,OCEAN GLASS,OGC
327,TH0115A10Z05,TH:OHTL,OHTL,OHTL
328,TH0789010Z08,TH:OISHI,OISHI GROUP,OISHI
329,TH6789010001,TH:ORI,ORIGIN PROPERTY,ORI
330,TH8752010000,TH:OSP,OSOTSPA,OSP
331,TH0112A10Z08,TH:PAF,PAN ASIA FOOTWEAR,PAF
332,TH0805A10Z00,TH:PAP,PACIFIC PIPE,PAP
333,TH0532010Z02,TH:PATO,PATO CHEMICAL IND.,PATO
334,TH0687010Z04,TH:PB,PRESIDENT BAKERY,PB
335,TH5306010Z06,TH:PCSGH,PCS MACHINE GPHD.,PCSGH
336,TH0088010002,TH:PDI,PADAENG INDUSTRY,PDI
337,TH0192010Z05,TH:PDJ,PRANDA JEWELRY,PDJ
338,TH0849010002,TH:PERM,PERMSIN STEEL WORKS,PERM
339,TH0352A10Z07,TH:PF,PROPERTY PERFECT,PF
340,TH0126010Z03,TH:PG,PEOPLE'S GARMENT,PG
341,TH0299010Z08,TH:PK,PATKOL,PK
342,TH0599010Z01,TH:PL,PHATRA LEASING,PL
343,TH6253010008,TH:PLANB,PLAN B MEDIA,PLANB
344,TH6329010008,TH:PLAT,THE PLATINUM GROUP,PLAT
345,TH0685010Z08,TH:PLE,POWER LINE ENGR.,PLE
346,TH0977010Z09,TH:PM,PREMIER MARKETING,PM
347,TH6252010009,TH:PMTA,PM THORESEN ASIA HDG.,PMTA
348,TH1060010002,TH:POPF,PRI.OFFE.LH.PPF. REIT,POPF
349,TH8306010001,TH:PORT,SAHATHAI TERMINAL,PORT
350,TH0078010Y07,TH:POST,BANGKOK POST ORS,POST
351,TH5137010002,TH:PPF,PINTHONG INDUSTRIAL PARK PROPERTY,PPF
352,TH4263010001,TH:PPP,PREMIER PRODUCTS,PPP
353,TH0435010Y09,TH:PPPM,PP PRIME,PPPM
354,TH8794010000,TH:PR9,PRARAM 9 HOSPITAL,PR9
355,TH0248A10Z05,TH:PRAKIT,PRAKIT HOLDINGS,PRAKIT
356,TH0871010003,TH:PREB,PRE-BUILT,PREB
357,TH0548A10Z02,TH:PRECHA,PREECHA GROUP,PRECHA
358,TH0366010Z05,TH:PRG,PATUM RICE MILL & GRNY.,PRG
359,TH0839B10Y00,TH:PRIME,PRIME ROAD POWER,PRIME
360,TH0865010001,TH:PRIN,PRINSIRI,PRIN
361,TH0862010Y04,TH:PRINC,PRINCIPAL CAPITAL,PRINC
362,TH8170010004,TH:PRM,PRIMA MARINE,PRM
363,TH7595010003,TH:PSH,PRUKSA HOLDING,PSH
364,TH0363010Z02,TH:PSL,PRECIOUS SHIPPING,PSL
365,TH0229010Z05,TH:PT,PREMIER TECHNOLOGY,PT
366,TH4547010009,TH:PTG,PTG ENERGY,PTG
367,TH0815010002,TH:PTL,POLYPLEX (THAILAND),PTL
368,TH0646010Z00,TH:PTT,PTT,PTT
369,TH0355A10Z04,TH:PTTEP,PTT EXPLORATION & PRDN.,PTTEP
370,TH1074010006,TH:PTTGC,PTT GLOBAL CHEMICAL,PTTGC
371,TH0885010Z04,TH:PYLON,PYLON,PYLON
372,TH0760010007,TH:QCON,QUALITY CON.PRDS.,QCON
373,TH0256A10Z04,TH:QH,QUALITY HOUSES,QH
374,TH3601010004,TH:QHHR,QLT.HSE.HLRS.FH &. LH PROP,QHHR
375,TH0974010009,TH:QHOP,QUALITY HOSPITALITY LEASEHOLD PROPERTY,QHOP
376,TH0931010001,TH:QHPF,QUALITY HOUSES LEASEHOLD PROPERTY FU,QHPF
377,TH0259010Z02,TH:RAM,RAMKHAMHAENG HOSPITAL,RAM
378,TH0637010Y00,TH:RATCH,RATCH GROUP PCL,RATCH
379,TH9451010002,TH:RBF,R & B FOOD SUPPLY,RBF
380,TH0155010Z02,TH:RCI,ROYAL CERAMIC IND.,RCI
381,TH0133010Z09,TH:RCL,REGIONAL CONTAINERS LIN.,RCL
382,TH5712010005,TH:RICHY,RICHY PLACE 2002,RICHY
383,TH7398010002,TH:RJH,RAJTHANEE HOSPITAL PUBLIC,RJH
384,TH0364010Y01,TH:RML,RAIMON LAND,RML
385,TH0416010005,TH:ROCK,ROCKWORTH,ROCK
386,TH0149010009,TH:ROH,ROYAL ORCHID HTL.(THAI.),ROH
