,Symbol In SET100 Constituent,Company Name,Unnamed: 0,symbol,exchange,industry,sector,name
23,BIG,BIG CAMERA,BIG,BIG,SET,Services,Commerce,BIG CAMERA CORPORATION PUBLIC COMPANY LIMITED
24,BIGC,BIG C SUPERCENTER DEAD - DELIST.28/09/17,BIGC,BIGC,SET,Services,Commerce,BIG C SUPERCENTER DEAD - DELIST.28/09/17 Acquired by Thai Charoen Corp Group.	BIGC.BK^I17 Delisted
25,BJC,BERLI JUCKER,BJC,BJC,SET,Services,Commerce,BERLI JUCKER PUBLIC COMPANY LIMITED
26,BJCHI,BJC HEAVY INDUSTRIES,BJCHI,BJCHI,SET,Property & Construction,Construction Services,BJC HEAVY INDUSTRIES PUBLIC COMPANY LIMITED
27,BLA,BANGKOK LIFE ASSURANCE,BLA,BLA,SET,Financials,Insurance,BANGKOK LIFE ASSURANCE PUBLIC COMPANY LIMITED
28,BLAND,BANGKOK LAND,BLAND,BLAND,SET,Property & Construction,Property Development,BANGKOK LAND PUBLIC COMPANY LIMITED
29,BMCL,BANGKOK METRO DEAD - DELIST.31/12/15,BMCL,BMCL,SET,Services,Transportation & Logistics,BANGKOK METRO DEAD - DELIST.31/12/15 Become BEM. Merge with BECL. BMCL.BK^L15 Delisted
30,BPP,BANPU POWER,BPP,BPP,SET,Resources,Energy & Utilities,BANPU POWER PUBLIC COMPANY LIMITED
31,BTS,BTS GROUP HDG.,BTS,BTS,SET,Services,Transportation & Logistics,BTS GROUP HOLDINGS PUBLIC COMPANY LIMITED
32,CBG,CARABAO GROUP,CBG,CBG,SET,Agro & Food Industry,Food & Beverage,CARABAO GROUP PUBLIC COMPANY LIMITED
33,CENTEL,CENTRAL PLAZA HOTEL,CENTEL,CENTEL,SET,Services,Tourism & Leisure,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED
34,CHG,CHULARAT HOSPITAL,CHG,CHG,SET,Services,Health Care Services,CHULARAT HOSPITAL PUBLIC COMPANY LIMITED
35,CK,CH KARNCHANG,CK,CK,SET,Property & Construction,Construction Services,CH. KARNCHANG PUBLIC COMPANY LIMITED
36,CKP,CK POWER,CKP,CKP,SET,Resources,Energy & Utilities,CK POWER PUBLIC COMPANY LIMITED
37,COM7,COM7,COM7,COM7,SET,Services,Commerce,COM7 PUBLIC COMPANY LIMITED
38,CPALL,CP ALL,CPALL,CPALL,SET,Services,Commerce,CP ALL PUBLIC COMPANY LIMITED
39,CPF,CHAROEN POKPHAND FOODS,CPF,CPF,SET,Agro & Food Industry,Food & Beverage,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED
40,CPN,CENTRAL PATTANA,CPN,CPN,SET,Property & Construction,Property Development,CENTRAL PATTANA PUBLIC COMPANY LIMITED
41,DELTA,DELTA ELECTRONICS,DELTA,DELTA,SET,Technology,Electronic Components,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED
42,DEMCO,DEMCO,DEMCO,DEMCO,SET,Resources,Energy & Utilities,DEMCO PUBLIC COMPANY LIMITED
43,DTAC,TOTAL ACCESS COMMS.,DTAC,DTAC,SET,Technology,Information & Communication Technology,TOTAL ACCESS COMMUNICATION PUBLIC COMPANY LIMITED
44,EA,ENERGY ABSOLUTE,EA,EA,SET,Resources,Energy & Utilities,ENERGY ABSOLUTE PUBLIC COMPANY LIMITED
45,EARTH,ENERGY EARTH DEAD - DELIST.19/09/19,EARTH,EARTH,SET,Resources,Energy & Utilities,ENERGY EARTH DEAD - DELIST.19/09/19 Delisted Sept 2019. EARTH.BK^I19 Delisted
46,EGCO,ELECTRICITY GENERATING,EGCO,EGCO,SET,Resources,Energy & Utilities,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED
47,EPG,EASTERN POLYMER GROUP,EPG,EPG,SET,Property & Construction,Construction Materials,EASTERN POLYMER GROUP PUBLIC COMPANY LIMITED
48,ERW,ERAWAN GROUP,ERW,ERW,SET,Services,Tourism & Leisure,THE ERAWAN GROUP PUBLIC COMPANY LIMITED
49,ESSO,ESSO THAILAND,ESSO,ESSO,SET,Resources,Energy & Utilities,ESSO (THAILAND) PUBLIC COMPANY LIMITED
50,GFPT,GFPT,GFPT,GFPT,SET,Agro & Food Industry,Agribusiness,GFPT PUBLIC COMPANY LIMITED
51,GGC,GLOBAL GREEN CHEMICALS,GGC,GGC,SET,Industrials,Petrochemicals & Chemicals,GLOBAL GREEN CHEMICALS PUBLIC COMPANY LIMITED
52,GL,GROUP LEASE SUSP - SUSP.17/11/20,GL,GL,SET,Financials,Finance & Securities,GROUP LEASE PUBLIC COMPANY LIMITED
53,GLOBAL,SIAM GLOBAL HOUSE,GLOBAL,GLOBAL,SET,Services,Commerce,SIAM GLOBAL HOUSE PUBLIC COMPANY LIMITED
54,GLOW,GLOW ENERGY DEAD - DELETE.13/12/19,GLOW,GLOW,SET,Resources,Energy & Utilities,GLOW ENERGY DEAD - DELETE.13/12/19 Become subsidary of GPSC. GLOW.BK^L19 Delisted
55,GOLD,GOLDEN LAND PR.DEV. DEAD - DELIST.10/08/20,GOLD,GOLD,SET,Property & Construction,Property Development,GOLDEN LAND PR.DEV. DEAD - DELIST.10/08/20 Delisted Aug 2020 become part of FPT. GOLD.BK^H20 Delisted
56,GPSC,GLOBAL POWER SYNERGY,GPSC,GPSC,SET,Resources,Energy & Utilities,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED
