Date,Price,Open,High,Low,Vol.,Change %,Close,Volume,Date,Ticker
2016-04-05,874.04,887.06,887.38,873.78,1.89B,-2.57,874.04,1890000000.0,2016-04-05,SET50
2016-04-07,860.01,874.48,876.91,860.01,1.71B,-1.61,860.01,1710000000.0,2016-04-07,SET50
2016-04-08,870.60,861.58,871.62,856.72,1.42B,1.23,870.6,1420000000.0,2016-04-08,SET50
2016-04-11,868.59,871.37,873.9,864.73,831.52M,-0.23,868.59,831520000.0,2016-04-11,SET50
2016-04-12,880.09,873.09,880.84,871.88,1.46B,1.32,880.09,1460000000.0,2016-04-12,SET50
2016-04-18,890.08,881.24,890.08,878.59,1.97B,1.14,890.08,1970000000.0,2016-04-18,SET50
2016-04-19,904.35,893.6,906.27,892.21,1.78B,1.6,904.35,1780000000.0,2016-04-19,SET50
2016-04-20,902.84,904.34,906.82,896.94,1.87B,-0.17,902.84,1870000000.0,2016-04-20,SET50
2016-04-21,909.05,910.26,916.09,907.04,1.66B,0.69,909.05,1660000000.0,2016-04-21,SET50
2016-04-22,898.04,910.18,910.67,898.04,1.38B,-1.21,898.04,1380000000.0,2016-04-22,SET50
2016-04-25,895.77,897.35,900.11,893.65,938.67M,-0.25,895.77,938670000.0,2016-04-25,SET50
2016-04-26,903.05,894.95,905.8,892.51,1.42B,0.81,903.05,1420000000.0,2016-04-26,SET50
2016-04-27,897.16,904.8,906.1,894.88,1.30B,-0.65,897.16,1300000000.0,2016-04-27,SET50
2016-04-28,887.53,900.91,902.99,885.27,1.20B,-1.07,887.53,1200000000.0,2016-04-28,SET50
2016-04-29,891.83,887.5,891.83,882.96,1.82B,0.48,891.83,1820000000.0,2016-04-29,SET50
2016-05-03,886.63,890.85,896.05,885.83,1.39B,-0.58,886.63,1390000000.0,2016-05-03,SET50
2016-05-04,882.15,882.4,883.32,877.22,959.30M,-0.51,882.15,959300000.0,2016-05-04,SET50
2016-05-09,886.96,882.58,887.07,876.92,1.53B,0.55,886.96,1530000000.0,2016-05-09,SET50
2016-05-10,882.86,880.83,885.15,877.62,1.40B,-0.46,882.86,1400000000.0,2016-05-10,SET50
2016-05-11,874.54,882.93,885.37,874.45,1.55B,-0.94,874.54,1550000000.0,2016-05-11,SET50
2016-05-12,890.37,877.21,890.44,876.08,1.49B,1.81,890.37,1490000000.0,2016-05-12,SET50
2016-05-13,885.90,890.6,894.58,885.57,1.82B,-0.5,885.9,1820000000.0,2016-05-13,SET50
2016-05-16,889.02,893.6,896.36,886.24,2.19B,0.35,889.02,2190000000.0,2016-05-16,SET50
2016-05-17,899.47,896.84,903.42,894.61,2.35B,1.18,899.47,2350000000.0,2016-05-17,SET50
2016-05-18,894.93,899.85,902.77,894.17,2.19B,-0.5,894.93,2190000000.0,2016-05-18,SET50
2016-05-19,883.91,895.01,895.36,881.67,1.68B,-1.23,883.91,1680000000.0,2016-05-19,SET50
2016-05-23,881.80,885.42,886.37,878.51,1.14B,-0.24,881.8,1140000000.0,2016-05-23,SET50
2016-05-24,882.25,881.71,884.34,876.84,877.75M,0.05,882.25,877750000.0,2016-05-24,SET50
2016-05-25,891.68,890.31,892.21,886.42,1.08B,1.07,891.68,1080000000.0,2016-05-25,SET50
2016-05-26,893.78,892.16,896.16,890.73,1.18B,0.24,893.78,1180000000.0,2016-05-26,SET50
2016-05-27,903.13,893.83,903.13,891.84,1.14B,1.05,903.13,1140000000.0,2016-05-27,SET50
2016-05-30,911.91,911.61,913.96,906.99,1.41B,0.97,911.91,1410000000.0,2016-05-30,SET50
2016-05-31,911.11,913.89,914.56,907.41,2.10B,-0.09,911.11,2100000000.0,2016-05-31,SET50
2016-06-01,903.25,909.37,913.52,903.25,1.09B,-0.86,903.25,1090000000.0,2016-06-01,SET50
