Date,High,Low,Open,Close,Volume,Adj Close,SMA,WMA,ADOSC,ATR,RSI,Actual,Predict
2017-06-09,27.75,27.25,27.5,27.25,1870900.0,25.37097549438477,27.25,27.31774193548387,165148.59760077298,0.4925497673378193,47.746506721277235,27.5,27.0228246870791
2017-06-12,28.0,27.25,27.5,27.5,5884700.0,25.60373497009277,27.26,27.33225806451613,-660755.1798050702,0.5109390696708321,51.787375373725254,28.25,27.370890316327547
2017-06-13,28.5,27.5,27.75,28.25,19296100.0,26.302021026611328,27.29,27.39516129032258,2131277.836692989,0.5458719932657726,61.42502255568978,28.0,28.24581802022127
2017-06-14,28.5,28.0,28.25,28.0,9306300.0,26.06926155090332,27.32,27.440322580645162,118625.17647011578,0.5425954223182174,57.31236978386162,28.5,27.937288460083998
2017-06-15,28.75,28.0,28.25,28.5,14750500.0,26.534780502319336,27.38,27.516129032258064,848930.1327604502,0.5574100350097734,62.69244325533013,29.5,28.463077301132262
2017-06-16,29.5,28.25,28.25,29.5,32992500.0,27.465824127197266,27.49,27.65430107526882,11568129.420991905,0.6068807467947896,70.65763095990357,29.5,29.312096083608843
2017-06-19,29.75,28.75,29.5,29.5,25345200.0,27.465824127197266,27.6,27.787634408602152,18933799.182450965,0.6349606934523047,70.65763095990359,29.0,29.477622276923714
2017-06-20,29.5,29.0,29.5,29.0,5305100.0,27.000303268432614,27.69,27.883870967741935,18537786.886461392,0.6253206439199971,62.87356250884508,29.0,28.92332863228705
2017-06-21,29.25,28.75,29.0,29.0,9829900.0,27.000303268432614,27.78,27.976881720430107,16690528.502969168,0.616369169354283,62.87356250884507,29.0,29.00753496451858
2017-06-22,29.25,28.75,29.0,29.0,9090500.0,27.000303268432614,27.86,28.066129032258065,14417511.118543327,0.6080570858289771,62.87356250884507,29.25,29.085003365999302
2017-06-23,29.5,29.0,29.25,29.25,26199600.0,27.233064651489254,27.96,28.16720430107527,12176957.541410632,0.6003387225554787,65.2633514307645,29.75,29.374863367313754
2017-06-26,30.0,29.5,29.5,29.75,24154200.0,27.69858741760254,28.07,28.295161290322582,10153371.30154629,0.611028813801516,69.49288164328962,29.0,29.844551061757183
2017-06-27,29.75,28.75,29.75,29.0,22909700.0,27.000303268432614,28.13,28.368279569892472,4757781.812370308,0.6388124699585506,58.07096025871882,29.0,28.944516478530808
2017-06-28,29.25,28.75,29.0,29.0,8128100.0,27.000303268432614,28.2,28.436559139784947,2117969.5838555545,0.6288972935329398,58.07096025871883,29.0,29.001036382147156
2017-06-29,29.25,28.5,29.25,29.0,11257200.0,27.000303268432614,28.25,28.5,2039449.1645672023,0.6375474868520155,58.07096025871883,29.0,29.0630627825781
2017-06-30,29.0,28.25,28.75,29.0,15329400.0,27.000303268432614,28.31,28.559139784946236,6699459.068988584,0.6455798092197286,58.07096025871883,28.75,29.144240103587418
2017-07-03,29.0,28.25,29.0,28.75,15051800.0,26.76754379272461,28.35,28.59731182795699,9593188.053919576,0.6530383942754623,54.08534024720982,28.5,28.865024261836677
2017-07-04,29.0,28.5,28.75,28.5,6114700.0,26.534780502319336,28.39,28.615591397849464,7959291.906489566,0.6421070803986435,50.362863596002185,28.5,28.56941713596319
2017-07-05,28.75,28.25,28.5,28.5,4940400.0,26.534780502319336,28.44,28.631720430107528,6567307.854678236,0.6319565746558833,50.36286359600217,28.25,28.584629404068735
2017-07-06,28.5,27.75,28.5,28.25,9739100.0,26.302021026611328,28.47,28.629032258064516,6433766.695178606,0.6403882478947488,46.63997459232462,28.0,28.278300703468187
2017-07-07,28.25,28.0,28.0,28.0,2000000.0,26.06926155090332,28.49,28.609139784946237,5157884.703094341,0.6125033730451239,43.20085925774707,28.5,27.971012752885116
2017-07-11,28.5,28.0,28.0,28.5,5101800.0,26.534780502319336,28.54,28.620430107526882,5790334.369687654,0.604467417827615,50.985331652144595,28.75,28.63894589063658
2017-07-12,28.75,28.25,28.5,28.75,7709300.0,26.76754379272461,28.6,28.646236559139783,7975628.83604968,0.5970054594113569,54.3539030238704,28.5,28.960288424855747
2017-07-13,28.75,28.25,28.75,28.5,7317700.0,26.534780502319336,28.63,28.653225806451612,8144555.769011442,0.5900764980248313,50.60826490393907,28.25,28.65996545972191
2017-07-14,28.5,28.0,28.5,28.25,7044000.0,26.302021026611328,28.66,28.641397849462365,7473248.08076749,0.5836424624516291,47.111947726660105,28.25,28.361114739773672
2017-07-17,28.75,28.25,28.25,28.25,4020400.0,26.302021026611328,28.7,28.627956989247313,5240017.837325189,0.5776680008479413,47.111947726660105,28.0,28.346698538416327
2017-07-18,28.5,28.0,28.25,28.0,5528700.0,26.06926155090332,28.72,28.596774193548388,2090926.5707055926,0.5721202865016598,43.61719482680173,27.75,28.019256718223456
2017-07-19,28.25,27.75,28.0,27.75,4385000.0,25.83650016784668,28.7,28.54784946236559,-782649.5447938405,0.5669688374658269,40.39055893132282,28.25,27.6934934624775
2017-07-20,28.25,27.75,28.0,28.25,5561100.0,26.302021026611328,28.71,28.53010752688172,-117612.54251689464,0.5621853490754107,48.58300514606431,28.0,28.364578593217576
2017-07-21,28.25,28.0,28.0,28.0,2266300.0,26.06926155090332,28.69,28.49516129032258,-555955.3559020609,0.5398863955700243,45.235418336919714,27.75,28.049489228570966
2017-07-24,28.25,27.75,28.0,27.75,2168600.0,25.83650016784668,28.62,28.44301075268817,-1374745.110841263,0.5370373673150225,42.110607962717054,28.25,27.72986589782181
2017-07-25,28.25,27.75,27.75,28.25,7701000.0,26.302021026611328,28.57,28.422043010752688,865590.454032816,0.5343918410782351,49.60816696550015,28.75,28.336881540817544
2017-07-26,29.0,28.0,28.25,28.75,17570600.0,26.76754379272461,28.56,28.43172043010753,4498724.052932862,0.567649566715504,55.77638637988076,29.0,28.875472017118923
2017-07-27,29.25,28.5,28.75,29.0,16398200.0,27.000303268432614,28.56,28.456451612903226,7315234.096155651,0.5806745976643966,58.51094884297847,28.5,29.13715734076014
2017-07-31,29.25,28.25,29.25,28.5,7764700.0,26.534780502319336,28.54,28.446774193548386,6567128.286914457,0.6106264121169396,51.63416381383801,28.0,28.55302573114537
2017-08-01,28.5,27.75,28.25,28.0,15234100.0,26.06926155090332,28.49,28.40483870967742,4048335.4600811396,0.6205816683943011,45.83304569106761,27.5,28.016515192957232
